Section,Question,Answer
Learner permit,"I’ve completed the Learner Permit Test Online, can I visit a VicRoads Customer Service Centre to get my permit? ","Congratulations for passing the test! To complete the process for getting your learner permit, you’ll be need to visit a VicRoads Customer Service Centre. No prior booking or appointment is required. Don’t forget to download and print your unsigned learner application from your myVicRoads account.  "
Learner permit,How do I have my overseas licence or permit verified?,"If you complete the Learner Permit Test Online (LPTO) and you’re from a non-recognised country or you’re from a country where your driver experience is recognised and you’re under 25 years old and want to take the Hazard Perception Test Online, you’ll need to book an overseas licence verification appointment(External link) before you register.

If you complete one or both the Learner Permit Test In-person or The Hazard perception Test In-person at a VicRoads Customer Service Centre, your overseas licence verification will be completed at your first in-person visit."
Learner permit,Do I need to study the Road to Solo Driving Handbook for the LPTO?,"No, you don’t need any prior knowledge before beginning the online course. Completing the course will teach you all you need to know about the road rules and safe driving behaviours to prepare you for the final assessment."
Learner permit,Who can help me complete the course and assessment?,"Your supervising driver, parents, family, or friends can participate in your road safety learning experience and provide additional support for you to complete the course if you need. However, you must attempt the final assessment by yourself without the help of others."
Learner permit,"I was unsuccessful passing the test at a Customer Service Centre, can I still take the Learner Permit Test Online? ","Yes, if you’ve been unsuccessful passing the test at a Customer Service Centre, you’ll still have the option to take the Learner Permit Test Online through your myVicRoads account."
Learner permit,How will I know if I’ve passed? Will I find out straight away?,"When you complete the course and assessment online, you’ll get your results straight away. You'll see a notification on your myVicRoads dashboard when you've passed. You’ll also receive an email confirming that you've been successful passing the final assessment.
"
Learner permit,How do I know when my access to the course expires?,You can complete both the course and final assessment 12 months after you enrol. Your enrolment expiry date will be displayed on your myVicROads account dashboard once you enrol.
Learner permit,How many attempts do I get to complete the course?,"There are no limits to the attempts you’ll get to complete the course. However, you’ll be given 12 months from when you enrol to complete both the course and assessment. "
Learner permit,Why do I have to pay an appointment fee for the test in-person but not when visiting a VicRoads Customer Service Centre if I complete the course online?,Appointments for in-person tests are necessary to ensure computer and staff availability to complete your appointment. The appointment fee covers the costs associated with these resources.
Learner permit,What payment methods are available to pay the course fee online? ,"The course fee can be paid online using either Mastercard or Visa. Please note, a card payment fee applies when using VISA or Mastercard."
Learner permit,Is Road Rules Education Online the same as the Learner Permit Test Online? ,"No. Road Rules Education Online is our free, online course designed to help all Victorian drivers brush up on their road rules and safe driving knowledge. The course content is similar to modules in the Learner Permit Test Online however, progress of topics completed within the course is not recorded or saved by VicRoads. Road Rules Education Online has been designed for educational purposes and practice only. The course can be accessed online anytime through your myVicRoads account. 

Please note: customers looking to get their learner permit will need to complete the Learner Permit Test Online or Learner Permit Test In-person."
Learner permit,What if I have a medical condition or injury?,"If you have an illness, disability, medical condition, injury or are undertaking medical treatment that affects your ability to drive, you’ll need to get medical report(s) for our Medical Review team before you can get your learner permit.

For more information, visit medical conditions and driving or call us on 13 11 71."
Learner permit,Can I take the Learner Permit Test Online if I’ve already got an appointment to take the test at a Customer Service Centre? Will I get a refund of fees?,"If you’re waiting to take the test at a Customer Service Centre, you can still enrol in the Learner Permit Test Online.

If you decide to enrol in the Learner Permit Test Online, you’ll need to pay the course fee again. Your existing test fee for your in-person test is refundable if you cancel with more than 24hrs notice, however the $19 appointment booking fee is not refundable. "
Learner permit,I’m required to complete the Learner Permit Test for re-licensing purposes. Can I do the online course? ,"Yes, as long as you meet the enrolment criteria, you can complete the course online. If you have any additional outstanding re-licensing requirements (i.e. alcohol interlock) those requirements must also be met before you can be issued with a driver licence. Your test results are valid for 12 months.

When you enrol for the LPTO you'll be asked a series of questions to determine your eligibility. If you’re eligible, you’ll be granted access to the test. Note: If you're currently disqualified from driving or obtaining a licence in Victoria and the disqualification period is more than 12 months, you won't be eligible to complete the test. "
Learner permit,Who can take the Learner Permit Test In-person at a VicRoads Customer Service Centre?,"You can take the Learner Permit Test in person at a VicRoads Customer Service Centre if you:

Want to complete the test in a language other than English
Require an interpreter
Don’t have access to a computer or internet."
Learner permit,What languages are available for the Learner Permit Test In-person?,"The Learner Permit Test In-person is available in the following languages: Albanian, Arabic, Cambodian, Chinese (Mandarin), Macedonian, Persian, Russian, Serbian, Sinhalese, Somali, Spanish, Turkish, and Vietnamese. If your language isn’t listed, you can book an interpreter at your nearest VicRoads Customer Service Centre."
Learner permit,What are the steps to complete the Learner Permit Test In-person?,"The steps are:

Step 1: Prepare and practice for the test using The Road to Solo Driving Handbook and take the practice test.
Step 2: Book and pay for your appointment online, by calling 13 11 71, or visiting a VicRoads Customer Service Centre.
Step 3: Attend your appointment to take the test, provide evidence of identity, complete an eyesight test, and have your photo taken.
Step 4: Receive your learner permit, which will be mailed to your postal address in about 10 business days. A temporary learner permit will be provided until the card arrives."
Learner permit,What should I bring to my appointment for the Learner Permit Test In-person?,"You need to bring:

A filled but unsigned licence or learner permit application form
One 'Category A' evidence of identity document (e.g., passport or Australian birth certificate)
One 'Category B' evidence of identity document (e.g., student ID or Medicare card)
Evidence of your current address (if not shown on your Category A or B document)
Glasses or contact lenses if required for the eyesight test
Your overseas driver licence and any required verification documents if you are converting an overseas licence."
Learner permit,How can I change or cancel my appointment for the Learner Permit Test In-person?,"You can change or cancel your appointment by using the online booking tool, calling 13 11 71, or visiting a VicRoads Customer Service Centre. If you cancel with less than 24 hours' notice or fail to attend, you'll forfeit all fees paid. If you change your appointment, a transfer fee applies."
Probationary driver licence,What are the requirements to apply for a probationary driver licence in Victoria?,"To apply for a probationary driver licence in Victoria, you must:

Be at least 18 years old
Have a current car learner permit
Have a Victorian residential address
Have the necessary identity documents
Not be suspended, cancelled, disqualified, or refused from obtaining a probationary driver licence
Not have a Fines Victoria licence sanction
Not have any outstanding relicensing requirements
Have passed all the required tests
Pay the appropriate fees.
If you are under 21 years old, you must also have completed and recorded at least 120 hours of supervised driving, including 20 hours at night, unless exempted."
Probationary driver licence,What are the minimum learner permit periods required before getting a probationary licence?,"The minimum continuous learner permit periods are:

12 months if you are under 21 years old
6 months if you are 21 to under 25 years old
3 months if you are 25 years or older."
Probationary driver licence,What tests do I need to pass to get my probationary licence?,"To get your probationary licence, you must pass:

An eyesight test
The Hazard Perception Test (online or in-person) before your drive test appointment
The Drive Test.
If you have held a motorcycle licence within the last 5 years, you only need to pass the eyesight test and the Drive Test."
Probationary driver licence,What should I bring to my drive test?,"For your drive test, you need to bring:

Your learner permit card or original evidence of identity documents if the permit is lost
Proof of 120 hours of supervised driving in your myLearners app or logbook (if applicable)
Your vehicle or your instructor’s vehicle to use for the drive test (VicRoads does not supply vehicles)
Payment for your driver licence, as you’ll receive a receipt as proof of your probationary licence if you pass."
Probationary driver licence,What happens if I need to change or cancel my drive test appointment?,"If you need to change your drive test appointment, you can do so online or by calling 13 11 71, as long as you provide at least 24 hours’ notice. If you don’t give 24 hours’ notice, you will lose your booking and the test fees paid. If you are more than 5 minutes late on the test day, you will need to re-book and pay a new fee."
Probationary driver licence,How can I manage my licence and registration information as a P plater in Victoria?,"You can manage your licence and registration information online at any time through your myVicRoads account. If you don’t have an account, you can create one on the myVicRoads website."
Probationary driver licence,What are the rules for displaying P plates in Victoria?,"As a probationary driver, you must display P plates whenever you drive. If you don’t clearly display your P plates, you could be fined or receive demerit points. For more details, visit the Transport Victoria website."
Probationary driver licence,How can I transfer a vehicle's registration into my name?,"When you buy or are given a vehicle in Victoria, you need to transfer the vehicle's registration into your name within 14 days of the sale. You can do this through your myVicRoads account. More information is available on the ""What to do when you buy a vehicle"" page."
Probationary driver licence,What is the Free Licence Scheme for P platers?,"If you maintain a good driving record while on your P plates, you may be eligible to apply for a free 3-year driver licence. For more information, visit the Transport Victoria website."
Probationary driver licence,Are there any vehicles I am not allowed to drive while on my P plates?,"Yes, there are certain vehicles that you are prohibited from driving while on your P plates. You can find more information about prohibited vehicles on the Transport Victoria website."
Hazard Perception Practice Test,What is the Hazard Perception Practice Test?,"The Hazard Perception Practice Test is an online test that allows you to practice responding to simulated video clips of different driving scenarios and common hazards that could appear in the suburbs, city, or on country roads. There are nine sample videos available, and you can practice as many times as you like for free."
Hazard Perception Practice Test,What do I need to take the Hazard Perception Practice Test?,"For the best experience, you should use a desktop computer with a widescreen monitor, a computer mouse that clicks correctly, functioning volume, a quiet environment, and an up-to-date compatible browser. Mobile devices should not be used to take the practice test."
Hazard Perception Practice Test,How do I use the Hazard Perception Practice Test?,"To use the practice test, click ‘Launch videos’ to open the video player in a separate window. Read the instructional text at the top of each video and click ‘Play’ to begin. For each scenario, you can choose to act by clicking the action button at the top right. After you’ve taken action or non-action, feedback will be displayed on-screen. Click ‘close’ to return to the main menu and ‘refresh’ to get a new list of videos."
Hazard Perception Practice Test,Do I have to pay to take the practice test?,No. The practice test on this page is free of charge.
Hazard Perception Practice Test,How many times can I try the practice test?,There are no limits to how many times you can attempt the Hazard Perception Practice Test.
Hazard Perception Practice Test,Are the practice videos the same videos in the real Hazard Perception Test?,"Yes, the videos in the practice test are like the video clips you’ll see in the real Hazard Perception Test. "
Hazard Perception Practice Test,"Will the practice test give me feedback about what I did wrong? ","Once you’ve taken action by clicking or not clicking your mouse, the video will tell you on the screen if you’ve responded correctly or incorrectly. You should aim to get more driving practice for scenarios you've responded incorrectly to before trying again."
Hazard Perception Practice Test,Will my results to the practice test be saved anywhere?,"No, your results to the practice test don’t get saved. The videos are available for you to practice as many times as you like."
Hazard Perception Test ,Why won’t the videos launch on my screen? ,"Before you start, make sure that your computer’s browser is up to date. You’ll need the latest version of Google Chrome, Mozilla Firefox or Microsoft Edge on your desktop to complete the test. Mobile devices should not be used to take the practice test. "
Hazard Perception Test ,How do I get more practice before taking the test?,You should get lots of supervised driving practice with your supervising driver or instructor in different conditions. You can also review your knowledge of the road rules and the stages of driving(External link) for ways to improve your hazard perception on the myLearners website(External link)
Hazard Perception Test ,Is the Hazard Perception Test the same as the Drive Test?,"No, the Drive Test focuses on your car handling skills and your ability to demonstrate safe driving on the road, whereas the Hazard Perception Test is computer based, and assesses how you would react to hazards such as other vehicles, pedestrians and cyclists. "
Hazard Perception Test ,How long are Hazard Perception Test results valid for?,"Hazard Perception Test results are only valid for 12 months, which means you must successfully complete your Drive Test within 12 months of completing the Hazard Perception Test or be required to do it again."
Hazard Perception Test ,How long is the test?,"There are 25 driving scenarios presented in the test. You’ll be given a total of 45 minutes to complete the test. You must respond to all 25 driving scenarios within the 45 minutes, or your attempt will be automatically considered unsuccessful."
Hazard Perception Test ,Is there a practice test I can take?,"Yes. A practice test is available on our website, free of charge. Go to The Hazard Perception Practice Test webpage. "
Hazard Perception Test ,What happens if I don’t pass the Drive Test within 12 months after passing the Hazard Perception Test? ,"If you haven’t passed the Drive Test within 12 months of passing the Hazard Perception Test, you’ll need to pass the Hazard Perception Test again"
Hazard Perception Test ,What if I don’t pass the Hazard Perception Test but I’ve booked my Drive Test for the same day?,"If you’re unsuccessful in passing your Hazard Perception Test Online or In-person and have booked your Drive Test on the same day: 

you won’t be able to take your Drive Test on that day
you’ll need to make a new appointment to take the Hazard Perception Test In-person or attempt the Hazard Perception Test Online and 
you’ll need to pay an appointment transfer fee as the Drive Test appointment must be rescheduled for another day."
Hazard Perception Test ,Can I use a concession card?,"No, there are no concessions available for appointment, test or licence fees. "
Hazard Perception Test ,Can I book my Hazard Perception Test and Drive Test on the same day?,"Yes, you can book your Hazard Perception Test In-person and Drive Test on the same day, however you’ll need to pay two appointment fees. "
Hazard Perception Test ,Can I still take the Drive Test if I don’t pass the Hazard Perception Test on the same day?,"No, you won’t be allowed to take the Drive Test on the same day, if you don’t pass the Hazard Perception Test. If you don't pass the Hazard Perception Test you'll need to:

make a new appointment to take the Hazard Perception Test In-person or online again and
reschedule your Drive Test."
Hazard Perception Test ,Can I present my 120 hours MyLearners or Logbook at my Hazard Perception Test In-person?,"Yes, we encourage you to present the 120 hours prior to your Drive Test."
Hazard Perception Test ,What if I need to change my appointment?,"An appointment can only be changed by the appointment holder once it’s been booked. If you need to change your appointment, you’ll need to pay an additional appointment fee. The Hazard Perception Test fee will get transferred to the new appointment (or you’ll get a refund if at least 24 hours notice is given.) Go to driver licence and learner permit fees page for more.
"
Hazard Perception Test ,What if I don’t give enough notice to change or cancel?,"If you don’t give us at least 24 hours notice, you’ll lose your appointment and test fees and won’t be able to get a refund."
Hazard Perception Test ,What if I’m running late to the appointment?,"If you’re more than five minutes late, you’ll need to re-book your appointment for the next available timeslot and pay another appointment fee."
Hazard Perception Test ,How many hours of supervised driving practice do I need before I can take the HPTO?,All learner drivers under the age of 21 must complete 120 hours of driving practice to be eligible to book a Drive Test and should be close to getting their 120 hours of supervised driving experience (including at least 20 hours at night) before taking the HPTO. 
Hazard Perception Test ,Is the HPTO the same as the Hazard Perception Test In-person?,Yes. The HPTO is the same computer-based test taken in-person at a VicRoads Customer Service Centre. 
Hazard Perception Test ,How much does it cost to take the Hazard Perception Test Online?,"From 15 August 2022, your first test attempt to take the Hazard Perception Test Online is free under the Motorist Package and Safe Driver Discount Program.

You’ll need to pay the test fee for every new test attempt. See Driver licence and permit fees for more information."
Hazard Perception Test ,"I heard taking the test online is free, is this true? ","Yes. From 15 August 2022, your first attempt to take the Hazard Perception Test Online is free under the new Motorist Package and Safe Driver Program."
Hazard Perception Test ,"I've already attempted to take the Hazard Perception Test at a VicRoads Customer Service Centre but I was unsuccessful, am I still eligible for the free attempt?","If you’ve been unsuccessful passing the Hazard Perception Test In-person, you’ll still be eligible for a first attempt free if you register to take the Hazard Perception Test Online."
Hazard Perception Test ,"If I’ve recently enrolled into the Hazard Perception Test Online and paid the test fee, can I get a refund?","No. If you registered and paid to take the Hazard Perception Test Online before the 15 August, you won’t be eligible to get a refund on the fees already paid."
Hazard Perception Test ,Are the in-person test and appointment fees also waived?,No. Fees for the Hazard Perception Test In-person remain in place. See driver licence and learner permit fees.
Hazard Perception Test ,Is the fee to take the Drive Test also waived?,No. Fees for the Dive Test remain in place. See driver licence and learner permit fees.
Hazard Perception Test ,"What if I booked to take the Hazard Perception Test In-person but now I want to take the test online as it's free, can I cancel my appointment and get a refund?","Your in-person booking is made up of two fee components – the test fee and the appointment fee. See driver licence and learner permit fees.

If you've made an appointment to take the Hazard Perception Test In-person and would like to cancel this appointment to take the test online, you'll be eligible for a refund of the test fee only. You’ll need to provide us with at least 24 hours notice before cancelling your appointment. The appointment fee of $19.60 is non-refundable. "
Hazard Perception Test ,"After I register for the test, how long will I get to complete it?","You'll have access to the Hazard Perception Test Online(HPTO) for 12 months from the date you registered. If you don’t take the test within 12 months, you must re-register and pay a new test fee. 

Your first test attempt to take the Hazard Perception Test Online is free under the Motorist Package and Safe Driver Discount Program. A test fee applies for every new test attempt."
Hazard Perception Test ,What do I need to access the Hazard Perception Test Online(HPTO)?,"To take the test online, you’ll need a myVicRoads account, adequate internet connection, a credit card* to pay any subsequent test attempts and a computer or compatible device such as a desktop computer (a widescreen monitor is recommended). *A card payment fee applies when using VISA or Mastercard.

To get the best experience, check that you have the following set up:

A desktop computer. A widescreen monitor is recommended for best experience
A computer mouse. Before the test, check that it clicks correctly
Make sure your volume works and is turned on
Make sure you’re in a place that’s quiet for you to focus 
Make sure that your computer’s browser is up to date. You’ll need the latest version of Google Chrome, Mozilla Firefox or Microsoft Edge on your desktop to complete the test.
Please note: It is your responsibility to ensure you have the correct set up, working device and operating system before starting the test. Any errors which occur due to system, device or browser incompatibility or internet issues may interrupt your experience which could result in you having to retake the test and pay a new test fee.

If you’re unable to setup for the Hazard Perception Test Online correctly, you’ll need to book your Hazard Perception Test In-person. "
Hazard Perception Test ,Why is it mandatory for Hazard Perception Test Online customers to have two-step verification activated?,"The Hazard Perception Test Online is a formal test. It's part of what certifies you as a safe and capable person to hold a Victorian diver licence.

Two-step verification makes it harder for someone to pretend they are you and to log into your account. As it is a test, it is essential that you are the person taking the test and two-step verification provides this authentication. Setting this up on your myVicRoads account is easy. See two-step verification to learn more."
Hazard Perception Test ,Can I use a mobile phone to take the test? ,"To see each video clearly, we recommend using a desktop computer with a wide screen monitor, iPad or tablet. Mobile phones are not recommended and may affect your ability to observe the whole road scene and react correctly.

Before attempting the actual test, you’ll need to complete a practice test. This will help you determine if the device you’re using is suitable. You’ll also be given an opportunity to switch the device you’re using, before taking the actual test."
Hazard Perception Test ,Does the Hazard Perception Test Online cost the same as taking the test in-person?,"Yes. The test fee is the same. From August 2022, your first test attempt to take the Hazard Perception Test Online is free under the Motorist Package and Safe Driver Discount Program.

If you choose to take the test in-person at a VicRoads Customer Service Centre, you’ll also need to pay an appointment fee."
Hazard Perception Test ,Does the Hazard Perception Test Online include a practice test?,"Yes. Before you take the test, you’ll be presented with three practice questions. You’ll get feedback after you respond to each scenario telling you if your attempt was successful or unsuccessful. You can attempt the practice test as many times as you need and should keep trying until you respond correctly to at least 2 out of 3 scenarios in the practice test. If you're unsuccessful in the practice test, you should aim to get more supervised driving experience before you try again."
Hazard Perception Test ,How many attempts do I get to pass the test online?,"For every new attempt, a test fee will apply. You’ll be permitted two attempts to pass the test in one day. However, after two unsuccessful attempts in one day, you’ll need to wait until the next day before you can try again."
Hazard Perception Test ,Do I need to respond to all 25 driving scenarios? ,"Yes. For each driving scenario, you’ll need to provide a response or ‘action’. This may be choosing to slow down, turn right, move off or take no action at all. Each scenario will need to be actioned with a response within the 45 minutes or your attempt will be automatically considered unsuccessful."
